vve;woningen;postcode;huisnummer;wijk;stadsdeel;lat;lon;aantal_postcodes
Vereniging Van Eigenaars Mariaburcht Te S Gravenhage V E M G;140;2532CD;1A;Moerwijk;Escamp;52.0548445667715;4.306814316726843;4
Vereniging Van Eigenaars Heilostraat 11 Tot En Met 263 ( Oneven Nummers) Te 'S-Gravenhage;138;2547KA;11;Leyenburg;Escamp;52.063315386777326;4.265962362133198;5
Vereniging Van Eigenaars Nieuwendamlaan 308 Tot En Met 560 ( Even Nummers) Te 'S-Gravenhage;137;2547JZ;508;Leyenburg;Escamp;52.061185455901;4.265271710984817;6
Vereniging Van Eigenaars Flatgebouw Lage Nieuwstraat 316-628 Te 'S-Gravenhage;137;2512VX;316;Centrum;Centrum;52.07433441062444;4.303230343391796;2
Vereniging Van Eigenaars Dirk Buserf, Jan Bronnerstraat, Hildo Kroplaan Te 'S-Gravenhage;137;2552XJ;108;Loosduinen;Loosduinen;52.05643578085029;4.2497143499095476;8
Vereniging Van Eigenaars Heilostraat 273 Tot En Met 525 ( Onevennummers) Te 'S-Gravenhage;135;2547KM;473;Leyenburg;Escamp;52.06191711627073;4.2671161698745745;7
Ondervereniging van eigenaars Woningen gelegen aan de Maanweg 140 tot en met 166 (even nummers) te ‘s- Gravenhage (Elara);134;2516AB;140A;Binckhorst;Laak;52.06757847961634;4.3525989949028165;1
"Vereniging van Eigenaars ""Kraayenstein Toren"" aan de Forellendaal te 's-Gravenhage";133;2553LE;108;Kraayenstein en Vroondaal;Loosduinen;52.04806459939984;4.236014535765996;10
Vereniging Van Eigenaars Reyniershof Te 'S-Gravenhage;133;2512CX;7;Centrum;Centrum;52.07296817112945;4.310177932387349;4
Vereniging Van Eigenaars Gedempte Sloot 16 Tot En Met 230 (Even Nummers) Te 'S-Gravenhage;132;2513TD;16;Centrum;Centrum;52.07683061857411;4.30067333312366;2
"""Vereniging van eigenaars Ondersplitsing Woningen A2 gebouw De President Verhulstplein 11,12,13,15,16 en 17 te 's-Gravenhage";132;2517SC;11F;Duinoord;Scheveningen;52.08513548432812;4.2746244255265475;1
Vve Won. Zorgvlietstr.1t/M29(Oneven) Hemsterhuisstr.2t/M30(Even) Veenkade 83t/M135,Stallingsgarage Veenkade 106b En 110b, Zorgvlietstr.21, Hemsterhuistr.22 S Gravenhage;132;2513EK;99;Zeeheldenkwartier;Centrum;52.07840386337871;4.298063040365097;5
"Vereniging van Eigenaars: Tripstraat/Zamenhofstraat/Esperantostraat ""Het Zamen""";132;2571DK;153;Regentessekwartier;Segbroek;52.074289191954286;4.2921341831960715;2
Vereniging van Eigenaars Woningen II, Complex Wijnhavenkwartier I te 's-Gravenhage;132;2511DK;54;Centrum;Centrum;52.078355347296124;4.319850804982958;1
Vereniging van Eigenaars Burgemeester Patijnlaan 594 tot en met 814 (even nummers) Couperusduin III thans Vereniging Couperus-Duin-Archipel zie akte dl 12119 nr 18;131;2585CC;594;Archipelbuurt;Centrum;52.089563824547895;4.299697580783437;1
Vereniging Van Eigenaars Nieuwendamlaan 46 Tot En Met 298 ( Evennummers) Te 'S-Gravenhage;131;2547JL;46;Leyenburg;Escamp;52.06260491012237;4.264181675357425;5
Vereniging Van Eigenaars Smaragdhorst 2 Tot En Met 364 ( Even Nummers) Te 'S-Gravenhage;130;2592RV;174;Mariahoeve en Marlot;Haagse Hout;52.097479076659326;4.357677108289483;7
Vereniging van Eigenaars Toren 2 van complex New Babylon aan de Bezuidenhoutseweg te Den Haag;130;2594AC;65;Bezuidenhout;Haagse Hout;52.08296167046892;4.325292094669968;1
Vereniging van Eigenaars De Brink 14 tot en met 306 te 's-Gravenhage;130;2553HD;208;Kraayenstein en Vroondaal;Loosduinen;52.04719046248109;4.23375779412293;5
Vereniging Van Eigenaars Parelmoerhorst 2 Tot En Met 364 ( Even Nummers) Te 'S-Gravenhage;130;2592SE;6;Mariahoeve en Marlot;Haagse Hout;52.09552049265652;4.3542506804534815;7
vereniging van ondereigenaars woningen De Kroon aan de Schedeldoekshaven en de Turfmarkt te s gravenhage;128;2511GT;340;Centrum;Centrum;52.07865723775165;4.321053615084396;2
Vereniging Van Eigenaars Van Het Gebouw Hagemeijer Iii Te S Gravenhage;128;2521RE;1478;Laakkwartier en Spoorwijk;Laak;52.0655232977248;4.3250824647985455;4
Vereniging van Eigenaars Cornelis de Wittlaan 12 tot en met 276 te 2582 CL 's-Gravenhage;128;2582CL;12;Duinoord;Scheveningen;52.08805304817883;4.279566159221854;3
Vereniging van Eigenaars Neherkade 30 tot en met 51H, Laakweg 139 en 1e Laakdwarsweg 4 te 's-Gravenhage;128;2521RC;1320;Laakkwartier en Spoorwijk;Laak;52.06639611685787;4.326706299564507;4
vereniging van eigenaars lozerlaan 1575 t/m 1833 te 's-Gravenhage (ster);128;2544LV;1627;Bouwlust/Vrederust;Escamp;52.03142462064383;4.256729037108015;5
vereniging van eigenaars lozerlaan 201 t/m 459 te 's-Gravenhage (driehoek);128;2544LB;253;Bouwlust/Vrederust;Escamp;52.03996442872717;4.24501173475334;5
vereniging van eigenaars lozerlaan 1117 t/m 1375 te 's-Gravenhage (rond);128;2544LN;1169;Bouwlust/Vrederust;Escamp;52.034668100297914;4.25357291721524;5
vereniging van eigenaars lozerlaan 659 t/m 917 te 's-Gravenhage (vierkant);128;2544LH;711;Bouwlust/Vrederust;Escamp;52.03750732343087;4.250496137643335;5
Vereniging Van Eigenaars Loosduinseweg 305/563 Te S Gravenhage;127;2571AE;361;Regentessekwartier;Segbroek;52.07290075499269;4.290813297722171;4
Vereniging van Ondereigenaars Prinses Beatrixlaan 11 tot en met 11- 125 te 's-Gravenhage;126;2595AK;11;Bezuidenhout;Haagse Hout;52.07989857433354;4.3334283641473155;1
Vereniging Van Eigenaars Zeekant/Gevers Deynootweg Te 'S-Gravenhage;125;2586HP;1266D;Belgisch Park;Scheveningen;52.11596151409019;4.286770437629821;3
Vereniging van Eigenaars Van Diesenstraat 1, 5 tot en met 15, 19 tot en met 271 (oneven nummers) te 's-Gravenhage;125;2521EE;45;Laakkwartier en Spoorwijk;Laak;52.06156794062979;4.319075119780963;4
Vereniging van Eigenaars Nannie van Wehlstraat 2 tot en met 248 (even nummers) te ’s-Gravenhage;124;2548MN;2;Wateringse Veld;Escamp;52.042094623021605;4.284947857895274;1
vereniging van eigenaars Scheldeldoekshaven, Turfmarkt , gebouw De Kroon;124;2511GR;14;Centrum;Centrum;52.07861475353833;4.321107861696334;2
Vereniging Van Eigenaren Elisabeth Brugsmaweg Te 'S-Gravenhage;123;2555SC;1;Bohemen en Meer en Bos;Loosduinen;52.06709990017448;4.2430491849932395;1
Vereniging Van Eigenaren Verzorgingsflat Waalsdorp              Te 'S-Gravenhage;123;2597TS;111;Benoordenhout;Haagse Hout;52.10442398686299;4.3274511175790895;5
Vereniging Van Eigenaars Gebouw 'S-Gravendam;123;2571DA;5;Regentessekwartier;Segbroek;52.073247472984185;4.292023658613111;3
Vereniging van Eigenaars Haagsche KwartierLeyweg/Escamplaan ondersplitsing woningen 2 te 's-Gravenhage;123;2547EW;862E;Leyenburg;Escamp;52.057829101382104;4.264086744878575;2
Vereniging van Ondereigenaars Prinses Beatrixlaan 9-1 tot en met 9-122 te 's-Gravenhage;122;2595AK;9;Bezuidenhout;Haagse Hout;52.08018051407193;4.333928038110799;1
Vereniging Van Eigenaars Mozartlaan 22 T/M 276 (Even) Te 'S-Gravenhage;120;2555KK;62;Waldeck;Loosduinen;52.06045193066123;4.231150794387464;6
Vereniging van Eigenaars Leyweg 84 tot en met 172A te 's-Gravenhage;120;2545CW;138B;Leyenburg;Escamp;52.05948888790077;4.263910613165904;6
Vereniging Van Eigenaars Mozartlaan 288 T/M 542 (Even) Te 'S-Gravenhage;120;2555KR;288;Waldeck;Loosduinen;52.05853144735287;4.229915554170221;6
Vereniging Van Eigenaars Palace-Appartementen III Gevers Dey- Nootweg 994 Tot En Met 1128a (Even Nummers) Te S Gravenhage;119;2586BX;994;Belgisch Park;Scheveningen;52.114563423298065;4.284337185357598;1
Vereniging van Eigenaars Juliana van Stolberglaan 3-3Y, 5A-5R, 7A-7R, Louise Henriettestraat 3-167 (oneven) en Prinses Beatrixlaan 2 en 116 te Den Haag;118;2595CA;3X;Bezuidenhout;Haagse Hout;52.082260056291176;4.334179295943563;3
Vve Doedijnstr.106t/M158(Even) A.Cuypstr.21t/M85 J.Catsstr.247t/M301(Oneven) Hoefkade 720t/M770(Even) S Gravenhage;116;2526CS;726;Schildersbuurt;Centrum;52.067727477621716;4.312355317317412;8
Vereniging Van Eigenaars Zuidertoren Te 'S-Gravenhage;115;2531AA;3;Moerwijk;Escamp;52.05835389808286;4.294255309847175;1
VERENIGING VAN EIGENAARS LA FENETRE TE S GRAVENHAGE;115;2595BV;231;Bezuidenhout;Haagse Hout;52.08027888001144;4.326842805481709;2
Vereniging van Eigenaars Cornelis de Wittlaan 470 tot en met 694 te 2582CT 's-Gravenhage;114;2582CT;470;Duinoord;Scheveningen;52.08627283018798;4.2754508272699105;3
Vereniging Van Eigenaars Dekkershaghe Te 'S-Gravenhage;114;2551GA;12B;Waldeck;Loosduinen;52.06077631497678;4.232536771622688;1
Vereniging van Eigenaars complex Junoblok aan de Junostraat 35-37 te 's-Gravenhage;114;2516BR;47;Binckhorst;Laak;52.06377459660084;4.339785627635889;2
Vereniging van Eigenaars van de woningen Frederikstraat 585, 587, 591, 601 t/m 705 (oneven nummers) en 717 t/m 821 (oneven nummers), 709, 711, 713 en 833 t/m 841 (oneven nummers) te 's-Gravenhage;113;2514LT;651;Willemspark;Centrum;52.08811668123754;4.310621329060554;7
Vereniging Van Eigenaars De Brink 336 Tot En Met 580;112;2553HK;498;Kraayenstein en Vroondaal;Loosduinen;52.04809853638238;4.233438447004466;6
Vereniging Van Eigenaars Van Het Gebouw Meppelweg 890-956a Te 'S-Gravenhage Gevestigd Te 'S-Gravenhage;112;2544CD;944C;Bouwlust/Vrederust;Escamp;52.0458948625458;4.255842804496771;4
"Vereniging Van Eigenaars ""Onder 'T Lommer"" Te Den Haag";112;2564BZ;332D;Waldeck;Loosduinen;52.06444955110098;4.252161441740642;2
Vereniging Van Eigenaars Wagenstraat / Sint Jacobstraat 60 Tot En Met 80s Te 'S-Gravenhage;111;2512AX;70S;Centrum;Centrum;52.07554242169899;4.313671701514614;1
"VvE Oranjepolderhof te Leidschendam-Voorburg; zij is gevestigd te Leidschendam-Voorburg";110;2493VC;1;Leidschenveen;Leidschenveen-Ypenburg;52.05600027570597;4.404553037652295;3
Vereniging Van Eigenaars Vaillantlaan,Ruysdaelstraat,Brueghelstraat En Hobbemastraat Te 'S-Gravenhage;108;2526HB;43A;Schildersbuurt;Centrum;52.069706848103095;4.301040075310834;4
Vereniging Van Eigenaars Piet Heinplein Ite 'S-Gravenhage;107;2518BW;72;Zeeheldenkwartier;Centrum;52.08319178105948;4.3007242590813695;5
Vereniging van Eigenaars Leyhof te 's-Gravenhage;107;2548AE;1101;Wateringse Veld;Escamp;52.040434550716924;4.284021554082954;1
Vereniging Van Eigenaars Recreatiecentrum Kijkduinpark;107;2555NW;450;Kijkduin en Ockenburgh;Loosduinen;52.05384361463551;4.213015090406981;2
Vereniging Van Eigenaren Clingenbosch Te 'S-Gravenhage;106;2597GA;55;Benoordenhout;Haagse Hout;52.10500670402506;4.329558764581925;6
VVE Fluitschiplaan 7 tot en met 231 (oneven nummers) te 's-Gravenhage;106;2496XW;7;Ypenburg;Leidschenveen-Ypenburg;52.05286262541901;4.386748718080144;2
Vereniging Van Eigenaars Asstraat Te 'S-Gravenhage;106;2516KA;15;Laakkwartier en Spoorwijk;Laak;52.065939129176364;4.330234767726376;1
Vereniging van Eigenaars Dallashof te 's-Gravenhage;106;2548BM;389;Wateringse Veld;Escamp;52.032140941171185;4.285034952007317;4
Vereniging van Eigenaars Baltimorehof te 's-Gravenhage;106;2548BL;191;Wateringse Veld;Escamp;52.03339684551825;4.284134037755064;4
Vereniging Van Eigenaars Parallelweg 161,Vaillantlaan 529 Tot En Met 725(Oneven Nummers) En Gabriel Metsustraat 102,114 Tot En Met 186(Even Nummers) Te 'S-Gravenhage;104;2526MD;613;Schildersbuurt;Centrum;52.06401563814897;4.31045958735805;7
Vereniging van eigenaars De Orient aan de Kempstraat, de Morgenzonlaan en de Graskopstraat te Den Haag;103;2572WW;5;Transvaalkwartier;Centrum;52.064941549493135;4.292270464164011;3
Vereniging Van Eigenaars Veenendaalkade 256 Tot En Met 470, Lopikstraat 1 Tot En Met 7 En 11 Rijsenburgstraat 2 Te 'S-Gravenhage;100;2547AX;256;Leyenburg;Escamp;52.05958944519747;4.27041239598012;5
Vereniging van Eigenaars Bruggebouw Vijverhof te Den Haag Leeghwaterplein nummers 9 tot en met 15y (oneven nummers);100;2521CT;9K;Laakkwartier en Spoorwijk;Laak;52.06690853919142;4.32150307717191;1
Vereniging Van Eigenaars Boomsluiterskade 299 En Maasstraat 9 Te 'S-Gravenhage;100;2515DD;155;Stationsbuurt;Centrum;52.07690580864256;4.325083874867373;4
Vereniging van Eigenaars Scheveningseweg 60 tot en met 60e-4 (Gebouw B en Gebouw C) te 2517 KW 's-Gravenhage;99;2517KW;56;Geuzen- en Statenkwartier;Scheveningen;52.09699691356417;4.28369007018237;1
Vereniging van Eigenaars Anna Blamanplein 26 tot en met 127 te 's-Gravenhage;98;2525ZW;68;Groente- en Fruitmarkt;Centrum;52.059900432563374;4.3006929484912675;2
Vereniging van eigenaars Van Boecopkade 10 tot en met 38c (even nummers) en Onafhankelijkheidstraat 25 en 27 te 's-Gravenhage.;98;2518PG;10B;Regentessekwartier;Segbroek;52.07583460843696;4.294480700582217;1
Vereniging Van Eigenaars Van Woningen Hof Ter Hage, Gelegen Te 'S-Gravenhage, Aan Het Kerkplein, De Torenstraat, De Nobelstraat En De Prinsestraat;97;2513BZ;10;Centrum;Centrum;52.077915168018066;4.30562504117363;3
Vereniging Van Eigenaars Noordpolderkade 200 Tot En Met 288 (Even Nummers), Schoeplaan 7 Tot En Met 21 (Oneven Nummers) En 25 Tot En Met 131 (Oneven Nummers);97;2516WC;45;Laakkwartier en Spoorwijk;Laak;52.064315360362855;4.333995110755175;6
V.v.E. Uniekstaete te 's- Gravenhage;96;2548BP;749;Wateringse Veld;Escamp;52.02954147048142;4.286792483552843;3
Vereniging Van Eigenaars Burgemeester Patijnlaan/Burgemeester Kolfschotenlaan,Gebouw Parthenon/Pergamon-Woningen Te 'S-Gravenhage;96;2585BJ;55C;Archipelbuurt;Centrum;52.090106731085775;4.303133258418565;3
Vereniging Van Eigenaars Domburglaan 2 T/M 48(Even)En Westkapellelaan 24 T/M 34(Even)38 T/M 62(Even)66 T/M 76(Even)80 T/M 90(Even)94 T/M 104(Even)108 T/M 118(Even)122 T/M 132(Even)150 T/M 160(Even)164;96;2554AX;52;Kijkduin en Ockenburgh;Loosduinen;52.06683164181293;4.222637738884067;8
Vereniging Van Eigenaars Escamplaan 444/678 En Ilpendamstraat 2 Tot En Met 90 Te 'S-Gravenhage;96;2547ES;624;Leyenburg;Escamp;52.05998398648753;4.267172338364179;4
Vereniging Van Eigenaars Vaillantlaan Blok 4 Te S Gravenhage;95;2526GW;25;Schildersbuurt;Centrum;52.068325643376596;4.301825974523518;6
Vereniging van Eigenaars Stadhouderslaan 100-114 “woningen en bergingen Casimir” te ‘s-Gravenhage;94;2517LB;100H;Duinoord;Scheveningen;52.08540479112343;4.275363805778555;1
vereniging van eigenaars hoefkade 139 tot en met 195a (oneven), jacob catsstraat 192 tot en met 226 (even) en westenbergstraat 72 tot en met 136 (even) te 's-gravenhage;94;2526DB;139A;Schildersbuurt;Centrum;52.068552962505855;4.313738864775537;7
Vereniging Van Eigenaars Bij De Westermolens 6/Westeinde 625/Sirtemastraat 483 Te 'S-Gravenhage;94;2512KK;647;Centrum;Centrum;52.07435097764564;4.297281222274265;6
Vereniging van Eigenaars Haagsche Kwartier Leyweg/Escamplaan ondersplitsing woningen 3 te 's-Gravenhage;92;2547EX;884;Leyenburg;Escamp;52.05736334865151;4.262992179967441;1
Vereniging Van Eigenaars Flatgebouw Pisuissestraat 301 Tot En Met 497 (Oneven Nummers) Te S Gravenhage;92;2553BP;443;Loosduinen;Loosduinen;52.057144482580114;4.227441616706996;6
Vereniging van Eigenaars Kepplerstraat 2 tot en met 122, Kepplerplein 12 tot en met 50 en Newtonstraat 107 en 109 te s gravenhage;92;2562VD;13;Regentessekwartier;Segbroek;52.07647464470076;4.285308979995214;5
Vereniging Van Eigenaars Studentenflat Theresiastraat Te 'S-Gravenhage;92;2593AN;6;Bezuidenhout;Haagse Hout;52.083238459093415;4.329884178498075;1
Vereniging Van Eigenaars Haagweide 1,2 En 3, Rijswijkseplein 70 T/M 169 En Stationsplein 70 Te 'S-Gravenhage;92;2516GX;72;Stationsbuurt;Centrum;52.071523353642235;4.3233839867843225;3
Vereniging van Eigenaars Oranjerivierstraat/De La Reyweg te 's-Gravenhage;91;2571GJ;242;Transvaalkwartier;Centrum;52.064927927196955;4.288992664624263;3
"Vereniging Van Eigenaars Flatgebouwen ""Franckenheuvel"" En ""Beau-Lieu"" Te 'S-Gravenhage";91;2582HA;1;Geuzen- en Statenkwartier;Scheveningen;52.099156136664796;4.280901072928072;3
