datum;leverancier;art;oms;aantal;netto;bestand
2026-04-22;Berner;316997;DRAADEIND    976 RVS M10X1M A2;10;50.2;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;284157-50;HOUTDRAADBOUT 571 8X 80      A2;100;33.76;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;835163-50;HOUTDRAADBOUT 571 8X100       A2;200;73.4;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;933082-50;HOUTDRAADBOUT 571 8X120       A2;100;48.4;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;85498-500;SPAANPLSCH EC TX 5,0X 30 CK ZI;1000;21.3;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;85475-1000;SPAANPLSCH EC TX 4,0X 25 CK ZI;2000;25;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;101967-100;SLUITRING DIN 9021 M12 RVS A2;400;79;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;5363-200;ZESKANTMOER 934     M 6 RVS A2;400;15.48;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;109304-100;TAPBOUT 933 RVS M 6X 20 A2;300;19.29;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;109290-100;TAPBOUT 933 RVS M 6X 16 A2;400;24.6;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;109320-100;TAPBOUT 933 RVS M 6X 30 A2;300;22.02;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-22;Berner;356700-100;TAPBOUT 933 RVS M 6X 60 A2;200;28.1;2026-04-22_45_Factuur_1204014243_van_22.04.2026.PDF
2026-04-28;Berner;284157-50;HOUTDRAADBOUT 571                        8X 80         A2;50;16.88;2026-04-28_43_Factuur_1204015230_van_28.04.2026.PDF
2026-05-04;Würth;0967911203;Marker vulpotlood;12;13.8;2026-05-04_42_4750348943.PDF
2026-05-04;Würth;0641201040;Universele boor;2;33.2;2026-05-04_42_4750348943.PDF
2026-05-04;Würth;0641208040;Universele boor;1;5;2026-05-04_42_4750348943.PDF
2026-05-04;Würth;0899800555;Vuilniszak;30;20.66;2026-05-04_42_4750348943.PDF
2026-05-04;Würth;0641206010;Universele boor;2;0;2026-05-04_42_4750348943.PDF
2026-05-04;Würth;0696121410;Zaagblad voor multi-cutter;5;47.7;2026-05-04_42_4750348943.PDF
2026-05-04;Würth;0614176780;Bithouder, krachtmoeren;2;6;2026-05-04_42_4750348943.PDF
2026-05-04;Würth;0712131117;Dopsleutel 1/2 inch;1;4.72;2026-05-04_42_4750348943.PDF
2026-05-07;Berner;1023658;PAKKET AFVALZAKKEN 120L 70MU;1;139;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;85502-300;SPAANPLSCH EC TX 5,0X 50 CK ZI;600;17.82;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;1006420-100;SPS EASYTIMBER TK 6x 80/ 40 ZI;100;13.98;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;38276-25;SNIJSCHIJF M/T 125X1,0X22,2 P;25;24.5;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;1005079;ROCKBEAVER 6,0x100/165 SDS+;3;17.28;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;1005107;ROCKBEAVER 8,0x100/165 SDS+;3;20.85;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;1005121;ROCKBEAVER 12,0x100/165 SDS+;3;30.66;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;372122-6;HANDSCHOEN FLEXUS DOTS               8;6;24.3;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;372126-6;HANDSCHOEN FLEXUS DOTS               9;6;24.3;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;372127-6;HANDSCHOEN FLEXUS DOTS              10;6;24.3;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;173325;ZAAGBEUGEL 2-K HANDGREEP;1;29;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;76359;HANDZAAG UNIVERSEEL            500MM;1;29;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;421274-5;BIT 1/4 TX 20        100MM;10;290;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-07;Berner;1005079-10;ROCKBEAVER 6,0x100/165 SDS+;10;65.5;2026-05-07_41_Factuur_1204017841_van_07.05.2026.PDF
2026-05-11;Berner;132386-12;MULTI COMPOUND UNI PLUS 300ML;12;137.64;2026-05-11_40_Factuur_1204018745_van_11.05.2026.PDF
2026-05-11;Berner;411102;SILIKIT OX PR TRANSPARAN 310ML;12;64.8;2026-05-11_40_Factuur_1204018745_van_11.05.2026.PDF
2026-05-11;Berner;411101;SILIKIT OX PR SIGNAALWIT 310ML;12;64.8;2026-05-11_40_Factuur_1204018745_van_11.05.2026.PDF
2026-05-13;Berner;1006420-100;SPS EASYTIMBER TK 6x 80/ 40 ZI;200;27.96;2026-05-13_39_Copy1204010299.pdf
2026-05-13;Berner;411102;SILIKIT OX PR TRANSPARAN 310ML;12;64.8;2026-05-13_39_Copy1204010299.pdf
2026-05-19;Isero;190379;Rolbandmaat Fatmax versterkt staal geel;1;29;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;180011;Lijmtang hobby 200x80mm (Spankracht;2;32.91;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;4771861251;Navullingset 4030 Dry voor;1;12.72;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;993001;Zijsnijtang met afstrip functie VD-draad;1;45.14;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;102050;Combinatietang kop verchroomd met;1;21.55;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;183231;Afbreekmes Fatmax Pro 18mm;2;23.94;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;183235;Reserve-afbreekmesjes Carbide 18mm;1;14.06;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;4771861210;Markeerpotlood 3030 Pica-Dry voor diepe;2;29.01;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-19;Isero;190140;Duimstok 1m glasfiber wit 4-delig;1;4.9;2026-05-19_37_Factuur_23144762_Isero_BV.pdf
2026-05-27;Würth;0893140;Etiketverwijderaar;1;10.15;2026-05-27_36_4750367080.PDF
2026-05-27;Würth;590681476;Universele plug, kunststof;60;24.74;2026-05-27_36_4750367080.PDF
2026-05-31;Isero;190379;Rolbandmaat Fatmax versterkt staal geel;1;29;2026-05-31_35_Factuur_23181717_Isero_BV.pdf
2026-05-31;Isero;4771861251;Navullingset 4030 Dry voor;1;12.72;2026-05-31_35_Factuur_23181717_Isero_BV.pdf
2026-05-31;Isero;4771861210;Markeerpotlood 3030 Pica-Dry voor diepe;1;14.5;2026-05-31_35_Factuur_23181717_Isero_BV.pdf
2026-05-31;Isero;127834;Bit 851/4 Z 1/4 Phillips;2;10.47;2026-05-31_35_Factuur_23181717_Isero_BV.pdf
2026-05-31;Isero;127864;Bit 855/4 Z 1/4 Pozidriv;2;21.3;2026-05-31_35_Factuur_23181717_Isero_BV.pdf
2026-05-31;Isero;190420;Rolbandmaat kunststof/rubber m/Tylon;1;3.5;2026-05-31_35_Factuur_23181717_Isero_BV.pdf
2026-06-05;Isero;14262620;Bocht 87.5 graden pvc grijs lijm 1x mof/1x;2;6.8;2026-06-05_34_Factuur_23204075_Isero_BV.pdf
2026-06-05;Isero;516457;Gecomprimeerde band zwart KOMO-keur;20;181.56;2026-06-05_34_Factuur_23204075_Isero_BV.pdf
2026-06-05;Isero;K0105928;Gecomprimeerde band zwart KOMO-keur;25;149.09;2026-06-05_34_Factuur_23204075_Isero_BV.pdf
2026-06-08;Berner;368989-250;AFVALZAK 120L 70MU BLAUW;250;122.5;2026-06-08_32_Factuur_1204024880_van_08.06.2026.PDF
2026-06-08;Berner;184393-10;MCS MENGSPIRAAL DIAMOND NEW;10;9;2026-06-08_32_Factuur_1204024880_van_08.06.2026.PDF
2026-06-08;Berner;937139-12;SPUITMOND VOOR KIT EN LIJM;36;19.08;2026-06-08_33_Factuur_1204024789_van_08.06.2026.PDF
2026-06-08;Berner;109428-100;TAPBOUT 933 RVS M 10X 30 A2;100;0;2026-06-08_33_Factuur_1204024789_van_08.06.2026.PDF
2026-06-08;Berner;316997;DRAADEIND       976 RVS M10X1M A2;12;60.24;2026-06-08_33_Factuur_1204024789_van_08.06.2026.PDF
2026-06-11;Berner;132386-12;MULTI COMPOUND UNI PLUS                             300ML;12;137.64;2026-06-11_31_Factuur_1204025935_van_11.06.2026.PDF
2026-06-16;Würth;0153740035;Spaanplaatschroef, lenskop;500;14.2;2026-06-16_29_4750389814.PDF
2026-06-16;Würth;0614176780;Bithouder, krachtmoeren;1;0;2026-06-16_29_4750389814.PDF
2026-06-16;Würth;06143320;Bit, TX;5;5;2026-06-16_29_4750389814.PDF
2026-06-18;Isero;993001;Zijsnijtang met afstrip functie VD-draad;1;45.14;2026-06-18_27_Factuur_23256347_Isero_BV.pdf
2026-06-18;Isero;190379;Rolbandmaat Fatmax versterkt staal geel;1;32.06;2026-06-18_27_Factuur_23256347_Isero_BV.pdf
2026-06-18;Isero;K0044836;Schroevendraaierset 3-C IS 4-8 PH1-2 6-;1;23.15;2026-06-18_27_Factuur_23256347_Isero_BV.pdf
2026-06-18;Isero;993001;Zijsnijtang met afstrip functie VD-draad;1;45.14;2026-06-18_28_Factuur_23256347_Isero_BV.pdf
2026-06-18;Isero;190379;Rolbandmaat Fatmax versterkt staal geel;1;32.06;2026-06-18_28_Factuur_23256347_Isero_BV.pdf
2026-06-18;Isero;K0044836;Schroevendraaierset 3-C IS 4-8 PH1-2 6-;1;23.15;2026-06-18_28_Factuur_23256347_Isero_BV.pdf
2026-06-23;Isero;190379;Rolbandmaat Fatmax versterkt staal geel;1;32.06;2026-06-23_25_Factuur_23277080_Isero_BV.pdf
2026-06-23;Isero;265154;Trap enkel 1x5 treden grijs gecoat 10 jr;1;236.57;2026-06-23_25_Factuur_23277080_Isero_BV.pdf
2026-06-23;Isero;127902;Bithouder 899/4/1 S 1/4 universeel met;3;40.61;2026-06-23_25_Factuur_23277080_Isero_BV.pdf
2026-06-24;Isero;516457;Gecomprimeerde band zwart KOMO-keur;40;363.12;2026-06-24_24_Factuur_23282596_Isero_BV.pdf
2026-06-24;Isero;k0105928;Gecomprimeerde band zwart KOMO-keur;20;119.27;2026-06-24_24_Factuur_23282596_Isero_BV.pdf
2026-06-26;Würth;0712131117;Dopsleutel 1/2 inch;2;4;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0590010;Afdekkap, zeskantkop;100;5;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;059008;Afdekkap, zeskantkop;200;0;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0899400482;Bescherm. handschoen, gebreid, gecoat;12;55.56;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0614176718;Krachtdop, machinefitting;1;4;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0614176717;Krachtdop, machinefitting;1;9;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0614176780;Bithouder, krachtmoeren;1;8;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0648076011;Hamerboor Plus;2;6;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0648076016;Hamerboor Plus;2;6;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0648071260;Hamerboor Plus;1;25.42;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0648071060;Hamerboor Plus;1;22.14;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;590681476;Universele plug, kunststof;80;32.99;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;590680846;Universele plug, kunststof;200;15.22;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0641206040;Universele boor;1;11.57;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0626200600;Spiraalboor, metaal;10;79.2;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0653801000;Machinetap, blinde gaten;1;18.62;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0655800800;Machinetap, blinde gaten;3;46.59;2026-06-26_23_4750401191.PDF
2026-06-26;Würth;0967911203;Marker vulpotlood;6;6;2026-06-26_23_4750401191.PDF
2026-06-30;Würth;09851011;Isolatietape, elektrisch;5;14.4;2026-06-30_21_4750405157.PDF
2026-07-02;Isero;220290;Rapid tap 125ml;1;17.2;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;183237;Reserve-afbreekmesjes Fatmax 18mm 10;1;6.46;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;202213;Machinetap hss-e M6x1.0;1;16.43;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;202214;Machinetap hss-e M8x1.25;1;18.9;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;202215;Machinetap hss-e M10x1.5;1;29.92;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;2344100;Blaasbalg AB G;1;41.45;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;K0430414;Verlengslang FIS;6;17.1;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;690702;Handveger 295mm bouw kwaliteit;1;3.18;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-02;Isero;690728;Stofblik met houten steel;1;5.08;2026-07-02_20_Factuur_23315322_Isero_BV.pdf
2026-07-03;Isero;183501;Zaagbokken met V-Groef;1;56.37;2026-07-03_19_Factuur_23318369_Isero_BV.pdf
2026-07-03;Isero;4771861210;Markeerpotlood 3030 Pica-Dry voor diepe;2;29.01;2026-07-03_19_Factuur_23318369_Isero_BV.pdf
2026-07-03;Isero;4771861251;Navullingset 4030 Dry voor;1;12.72;2026-07-03_19_Factuur_23318369_Isero_BV.pdf
2026-07-04;Würth;0958910100;Draadeind;75;54.9;2026-07-04_18_4750412860.PDF
2026-07-04;Würth;0958910120;Draadeind;50;49.64;2026-07-04_18_4750412860.PDF
2026-07-06;Isero;192100;Waterpas AZM 30 alu. goud magnetisch;1;25;2026-07-06_17_Factuur_23321423_Isero_BV.pdf
2026-07-06;Isero;126298;Inbussleutelset kogelkop 950 SPKL/9;1;35;2026-07-06_17_Factuur_23321423_Isero_BV.pdf
2026-07-07;Berner;13792-15;ALU-PVC      REINIGER       400ML;15;96.45;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;411087;SILIKIT OX PR ANTRACIET 310ML;6;32.4;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;411107;SILIKIT OX PR GITZWART       310ML;5;27;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;411102;SILIKIT OX PR TRANSPARAN 310ML;4;21.6;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;937139-12;SPUITMOND VOOR KIT EN LIJM;12;6.36;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;132386-12;MULTI COMPOUND UNI PLUS 300ML;12;137.64;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;184393-10;MCS MENGSPIRAAL DIAMOND NEW;40;36;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;38276-25;SNIJSCHIJF M/T 125X1,0X22,2 P;25;24.5;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;284157-50;HOUTDRAADBOUT 571 8X 80             A2;150;50.64;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;835163-50;HOUTDRAADBOUT 571 8X100              A2;150;55.04;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;932482-25;HOUTDRAADBOUT 571 10X100             A2;50;35.24;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;85498-500;SPAANPLSCH EC TX 5,0X 30 CK ZI;500;10.65;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;85502-300;SPAANPLSCH EC TX 5,0X 50 CK ZI;600;17.82;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;85504-200;SPAANPLSCH EC TX 5,0X 70 CK ZI;400;17.04;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;3335-200;SLUITRING DIN 9021 M 6 RVS A2;600;38.7;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;284467-200;SLUITRING DIN 9021 M 8 RVS A2;200;15.16;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;3337-100;SLUITRING DIN 9021 M10 RVS A2;300;33.36;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;5363-200;ZESKANTMOER 934     M 6 RVS A2;400;15.48;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;5371-200;ZESKANTMOER 934     M 8 RVS A2;400;26.44;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
2026-07-07;Berner;109320-100;TAPBOUT 933 RVS M 6X 30 A2;100;7.34;2026-07-07_15_Factuur_1204032005_van_07.07.2026.PDF
