datum;art;oms;besteld;geleverd;prijs;totaal;bestand
2026-04-14;1041426;ALTUS 50 RTS 20/17 VVF 5M;1;1;346.8;346.8;diversen/2026-04-14_130_invoice_10286416.pdf
2026-04-14;1822660;IZYMO SHUTTER IO;1;1;121.59;121.59;diversen/2026-04-14_131_invoice_10286415.pdf
2026-04-07;1781845;G2/IRI45/516 /2W/R80/C2/N /--;1;1;285.87;285.87;diversen/2026-04-07_141_invoice_10285286.pdf
2026-04-07;1002353;IRISMO 45 WIREFREE RTS W/BAT;1;1;207.06;207.06;diversen/2026-04-07_141_invoice_10285286.pdf
2026-04-07;1870404;SITUO 1 RTS PURE II NE;1;1;40.4;40.4;diversen/2026-04-07_141_invoice_10285286.pdf
2026-04-07;1003184;POWER ADAPTOR 0.6 DC 230V/29.4;1;1;35.3;35.3;diversen/2026-04-07_141_invoice_10285286.pdf
2026-03-31;1870329;SITUO 5 IO PURE II NE;3;3;64.47;193.41;diversen/2026-03-31_148_invoice_10284561.pdf
2026-03-31;1870313;SITUO 1 IO PURE II NE;3;3;45.19;135.57;diversen/2026-03-31_148_invoice_10284561.pdf
2026-03-26;1871306;SUNTEIS IO;1;1;0;0;diversen/2026-03-26_155_invoice_10283962.pdf
2026-03-26;1871072;Amy 1 modes io, incl. vierkant frame;1;1;0;0;diversen/2026-03-26_155_invoice_10283962.pdf
2026-03-26;1822618;COMPACT STOPCONTACT IO, AAN/UIT, TYPE F;1;1;0;0;diversen/2026-03-26_155_invoice_10283962.pdf
2026-03-26;1811483;SMOKE SENSOR TAHOMA PRO;1;1;0;0;diversen/2026-03-26_155_invoice_10283962.pdf
2026-03-25;1116233;SUNEA IO 35/17 VVF 5M;1;1;410.55;410.55;diversen/2026-03-25_156_invoice_10283774.pdf
2026-03-23;1040163;LT METEOR 20/17 VVF 3M;1;1;234.09;234.09;diversen/2026-03-23_157_invoice_10283370.pdf
2026-03-12;1871306;SUNTEIS IO;1;1;116.28;116.28;diversen/2026-03-12_169_invoice_10282031.pdf
2026-03-12;1816084;EOLIS WIREFREE IO;1;1;109.76;109.76;diversen/2026-03-12_169_invoice_10282031.pdf
2026-03-12;1811405;SMOOVE UNO IO PURE + FRAME;1;1;166.47;166.47;diversen/2026-03-12_169_invoice_10282031.pdf
2026-03-12;1871072;Amy 1 modes io, incl. vierkant frame;3;3;53.55;160.65;diversen/2026-03-12_170_invoice_10282030.pdf
2026-03-09;1811483;SMOKE SENSOR TAHOMA PRO;2;2;50.9;101.8;diversen/2026-03-09_179_invoice_10281409.pdf
2026-03-09;1822663;IZYMO LED DIMMER RECEIVER IO;1;1;50.6;50.6;diversen/2026-03-09_179_invoice_10281409.pdf
2026-02-27;1041426;ALTUS 50 RTS 20/17 VVF 5M;1;1;346.8;346.8;diversen/2026-02-27_187_invoice_10280300.pdf
2026-02-12;1045311;OXIMO RTS 30/17 VVF 5M;1;1;386.58;386.58;diversen/2026-02-12_204_invoice_10278341.pdf
2026-02-11;1024175;ALTUS 40 RTS 13/10 VVF 5M +;1;1;332.01;332.01;diversen/2026-02-11_207_invoice_10278163.pdf
2026-02-11;9014333;SONESSE 30 C&D ADAPTER PACK;1;1;5.46;5.46;diversen/2026-02-11_207_invoice_10278163.pdf
2026-02-09;1021371;LS40 SHORT 4/16 VVF 2,5M;-1;-1;241.23;-241.23;diversen/2026-02-09_211_invoice_10277795.pdf
2026-01-30;1025124;SUNEA SCREEN 40 IO 4/16 VVF 5M;1;1;326.91;326.91;diversen/2026-01-30_221_invoice_10276547.pdf
2026-01-30;1041426;ALTUS 50 RTS 20/17 VVF 5M;2;2;346.8;693.6;diversen/2026-01-30_221_invoice_10276547.pdf
2026-01-30;1781319;G1/IRI45/514 /2W/R /C2/N /--;1;1;254.35;254.35;diversen/2026-01-30_222_invoice_10276548.pdf
2026-01-30;1870404;SITUO 1 RTS PURE II NE;1;1;40.4;40.4;diversen/2026-01-30_222_invoice_10276548.pdf
2026-01-30;1003184;POWER ADAPTOR 0.6 DC 230V/29.4;1;1;35.3;35.3;diversen/2026-01-30_222_invoice_10276548.pdf
2026-01-30;1002353;IRISMO 45 WIREFREE RTS W/BAT;1;1;207.06;207.06;diversen/2026-01-30_222_invoice_10276548.pdf
2026-01-29;1041426;ALTUS 50 RTS 20/17 VVF 5M;1;1;346.8;346.8;diversen/2026-01-29_223_invoice_10276352.pdf
2026-01-29;1811685;SLIM IO RECEIVER RS + PLUG;1;1;164.02;164.02;diversen/2026-01-29_224_invoice_10276351.pdf
2026-01-29;1870313;SITUO 1 IO PURE II NE;1;1;45.19;45.19;diversen/2026-01-29_224_invoice_10276351.pdf
2026-01-29;1871072;Amy 1 modes io, incl. vierkant frame;1;1;53.55;53.55;diversen/2026-01-29_224_invoice_10276351.pdf
2026-01-29;1240410;ILMO 50 WT 20/17 VVF 3M IINTL;1;1;245.31;245.31;diversen/2026-01-29_224_invoice_10276351.pdf
2026-01-26;1871053;Amy 1 io, incl vierkant frame;2;2;0;0;diversen/2026-01-26_232_invoice_10275822.pdf
2026-01-22;1870594;TAHOMA SWITCH - EU PLUG;1;1;0;0;diversen/2026-01-22_234_invoice_10275302.pdf
2026-01-22;1871306;SUNTEIS IO;1;1;0;0;diversen/2026-01-22_234_invoice_10275302.pdf
2026-01-22;1811482;OPENING SENSOR TAHOMA PRO;1;1;0;0;diversen/2026-01-22_234_invoice_10275302.pdf
2026-01-16;1021371;LS40 SHORT 4/16 VVF 2,5M;1;1;241.23;241.23;diversen/2026-01-16_249_invoice_10274494.pdf
2026-01-14;1811717;SMOOVE ORIGIN RS100 IO PURE SHINE +;6;6;50.39;302.34;diversen/2026-01-14_255_invoice_10273944.pdf
2026-01-14;1870594;TAHOMA SWITCH - EU PLUG;1;1;116.86;116.86;diversen/2026-01-14_255_invoice_10273944.pdf
2026-01-08;1841134;KEYGO IO 1-WAY;1;1;48.45;48.45;diversen/2026-01-08_263_invoice_10273036.pdf
2025-12-15;1822293;Relais TR4-D-230 WM;1;1;92.7;92.7;diversen/2025-12-15_276_invoice_10271972.pdf
2025-12-15;1811717;SMOOVE ORIGIN RS100 IO PURE SHINE +;6;6;49.4;296.4;diversen/2025-12-15_277_invoice_10271973.pdf
2025-12-05;1870755;CONNECTIVITY KIT;12;12;45;540;diversen/2025-12-05_284_invoice_10270773.pdf
2025-12-05;1870594;TAHOMA SWITCH - EU PLUG;3;3;116.86;350.58;diversen/2025-12-05_284_invoice_10270773.pdf
2025-12-05;1870329;SITUO 5 IO PURE II NE;5;5;63.2;316;diversen/2025-12-05_284_invoice_10270773.pdf
2025-11-14;1049607;IO OXIMO 40/17 VVF 5M;1;1;385.5;385.5;diversen/2025-11-14_308_invoice_10267571.pdf
2025-11-14;1037690;IO OXIMO 10/17 VVF 5M;1;1;305;305;diversen/2025-11-14_308_invoice_10267571.pdf
2025-11-14;1045311;OXIMO RTS 30/17 VVF 5M;1;1;379;379;diversen/2025-11-14_308_invoice_10267571.pdf
2025-11-13;9001659;CABLE RTS VVF 10M 3WIRES;3;3;19.2;57.6;diversen/2025-11-13_310_invoice_10267355.pdf
